Acidez Fija;Acidez Volatil;Acido Citrico;Azucares Residuales;pH;Sulfatos;Alcohol;Calidad;Tipo
7.4;0.7;0;1.9;3.51;0.56;9.4;5;Tinto
7.8;0.88;0;2.6;3.2;0.68;9.8;5;Tinto
7.8;0.76;0.04;2.3;3.26;0.65;9.8;5;Tinto
11.2;0.28;0.56;1.9;3.16;0.58;9.8;6;Tinto
7.4;0.7;0;1.9;3.51;0.56;9.4;5;Tinto
7.4;0.66;0;1.8;3.51;0.56;9.4;5;Tinto
7.9;0.6;0.06;1.6;3.3;0.46;9.4;5;Tinto
7.3;0.65;0;1.2;3.39;0.47;10;7;Tinto
7.8;0.58;0.02;2;3.36;0.57;9.5;7;Tinto
7.5;0.5;0.36;6.1;3.35;0.8;10.5;5;Tinto
6.7;0.58;0.08;1.8;3.28;0.54;9.2;5;Tinto
7.5;0.5;0.36;6.1;3.35;0.8;10.5;5;Tinto
5.6;0.615;0;1.6;3.58;0.52;9.9;5;Tinto
7.8;0.61;0.29;1.6;3.26;1.56;9.1;5;Tinto
8.9;0.62;0.18;3.8;3.16;0.88;9.2;5;Tinto
8.9;0.62;0.19;3.9;3.17;0.93;9.2;5;Tinto
8.5;0.28;0.56;1.8;3.3;0.75;10.5;7;Tinto
8.1;0.56;0.28;1.7;3.11;1.28;9.3;5;Tinto
7.4;0.59;0.08;4.4;3.38;0.5;9;4;Tinto
7.9;0.32;0.51;1.8;3.04;1.08;9.2;6;Tinto
8.9;0.22;0.48;1.8;3.39;0.53;9.4;6;Tinto
7.6;0.39;0.31;2.3;3.52;0.65;9.7;5;Tinto
7.9;0.43;0.21;1.6;3.17;0.91;9.5;5;Tinto
8.5;0.49;0.11;2.3;3.17;0.53;9.4;5;Tinto
6.9;0.4;0.14;2.4;3.43;0.63;9.7;6;Tinto
6.3;0.39;0.16;1.4;3.34;0.56;9.3;5;Tinto
7.6;0.41;0.24;1.8;3.28;0.59;9.5;5;Tinto
7.9;0.43;0.21;1.6;3.17;0.91;9.5;5;Tinto
7.1;0.71;0;1.9;3.47;0.55;9.4;5;Tinto
7.8;0.645;0;2;3.38;0.59;9.8;6;Tinto
6.7;0.675;0.07;2.4;3.35;0.54;10.1;5;Tinto
6.9;0.685;0;2.5;3.46;0.57;10.6;6;Tinto
8.3;0.655;0.12;2.3;3.17;0.66;9.8;5;Tinto
6.9;0.605;0.12;10.7;3.45;0.52;9.4;6;Tinto
5.2;0.32;0.25;1.8;3.38;0.55;9.2;5;Tinto
7.8;0.645;0;5.5;3.4;0.55;9.6;6;Tinto
7.8;0.6;0.14;2.4;3.42;0.6;10.8;6;Tinto
8.1;0.38;0.28;2.1;3.23;0.73;9.7;7;Tinto
5.7;1.13;0.09;1.5;3.5;0.48;9.8;4;Tinto
7.3;0.45;0.36;5.9;3.33;0.83;10.5;5;Tinto
7.3;0.45;0.36;5.9;3.33;0.83;10.5;5;Tinto
8.8;0.61;0.3;2.8;3.26;0.51;9.3;4;Tinto
7.5;0.49;0.2;2.6;3.21;0.9;10.5;6;Tinto
8.1;0.66;0.22;2.2;3.3;1.2;10.3;5;Tinto
6.8;0.67;0.02;1.8;3.48;0.52;9.5;5;Tinto
4.6;0.52;0.15;2.1;3.9;0.56;13.1;4;Tinto
7.7;0.935;0.43;2.2;3.25;0.73;9.2;5;Tinto
8.7;0.29;0.52;1.6;3.25;0.58;9.5;5;Tinto
6.4;0.4;0.23;1.6;3.34;0.56;9.2;5;Tinto
5.6;0.31;0.37;1.4;3.32;0.58;9.2;5;Tinto
8.8;0.66;0.26;1.7;3.15;0.74;9.2;5;Tinto
6.6;0.52;0.04;2.2;3.4;0.63;9.4;6;Tinto
6.6;0.5;0.04;2.1;3.39;0.64;9.4;6;Tinto
8.6;0.38;0.36;3;3.2;0.56;9.4;5;Tinto
7.6;0.51;0.15;2.8;3.17;0.63;10.2;6;Tinto
7.7;0.62;0.04;3.8;3.34;0.53;9.5;5;Tinto
10.2;0.42;0.57;3.4;3.04;0.63;9.6;5;Tinto
7.5;0.63;0.12;5.1;3.26;0.77;9.4;5;Tinto
7.8;0.59;0.18;2.3;3.43;0.59;10;5;Tinto
7.3;0.39;0.31;2.4;3.41;0.54;9.4;6;Tinto
8.8;0.4;0.4;2.2;3.44;0.64;9.2;5;Tinto
7.7;0.69;0.49;1.8;3.21;0.71;9.3;5;Tinto
7.5;0.52;0.16;1.9;3.38;0.62;9.5;7;Tinto
7;0.735;0.05;2;3.39;0.57;9.8;5;Tinto
7.2;0.725;0.05;4.65;3.41;0.39;10.9;5;Tinto
7.2;0.725;0.05;4.65;3.41;0.39;10.9;5;Tinto
7.5;0.52;0.11;1.5;3.42;0.58;9.6;5;Tinto
6.6;0.705;0.07;1.6;3.44;0.58;10.7;5;Tinto
9.3;0.32;0.57;2;3.28;0.79;10.7;5;Tinto
8;0.705;0.05;1.9;3.34;0.95;10.5;6;Tinto
7.7;0.63;0.08;1.9;3.32;0.54;9.5;6;Tinto
7.7;0.67;0.23;2.1;3.32;0.48;9.5;5;Tinto
7.7;0.69;0.22;1.9;3.31;0.48;9.5;5;Tinto
8.3;0.675;0.26;2.1;3.31;0.53;9.2;4;Tinto
9.7;0.32;0.54;2.5;3.28;0.82;9.6;5;Tinto
8.8;0.41;0.64;2.2;3.54;0.66;10.5;5;Tinto
8.8;0.41;0.64;2.2;3.54;0.66;10.5;5;Tinto
6.8;0.785;0;2.4;3.52;0.55;10.7;6;Tinto
6.7;0.75;0.12;2;3.38;0.52;10.1;5;Tinto
8.3;0.625;0.2;1.5;3.16;1.12;9.1;4;Tinto
6.2;0.45;0.2;1.6;3.41;0.56;9.2;5;Tinto
7.8;0.43;0.7;1.9;3.13;1.28;9.4;5;Tinto
7.4;0.5;0.47;2;3.36;0.57;9.1;5;Tinto
7.3;0.67;0.26;1.8;3.16;1.14;9.4;5;Tinto
6.3;0.3;0.48;1.8;3.44;0.78;10.3;6;Tinto
6.9;0.55;0.15;2.2;3.41;0.59;10.1;5;Tinto
8.6;0.49;0.28;1.9;2.93;1.95;9.9;6;Tinto
7.7;0.49;0.26;1.9;3.39;0.64;9.6;5;Tinto
9.3;0.39;0.44;2.1;3.14;1.22;9.5;5;Tinto
7;0.62;0.08;1.8;3.48;0.53;9;5;Tinto
7.9;0.52;0.26;1.9;3.23;0.54;9.5;5;Tinto
8.6;0.49;0.28;1.9;2.93;1.95;9.9;6;Tinto
8.6;0.49;0.29;2;2.93;1.98;9.8;5;Tinto
7.7;0.49;0.26;1.9;3.39;0.64;9.6;5;Tinto
5;1.02;0.04;1.4;3.75;0.48;10.5;4;Tinto
4.7;0.6;0.17;2.3;3.85;0.6;12.9;6;Tinto
6.8;0.775;0;3;3.45;0.56;10.7;5;Tinto
7;0.5;0.25;2;3.25;0.63;9.2;5;Tinto
7.6;0.9;0.06;2.5;3.39;0.56;9.8;5;Tinto
8.1;0.545;0.18;1.9;3.3;0.59;9;6;Tinto
8.3;0.61;0.3;2.1;3.4;0.61;10.2;6;Tinto
7.8;0.5;0.3;1.9;3.31;0.56;10.4;6;Tinto
8.1;0.545;0.18;1.9;3.3;0.59;9;6;Tinto
8.1;0.575;0.22;2.1;3.29;0.51;9.2;5;Tinto
7.2;0.49;0.24;2.2;3.33;0.48;9.4;5;Tinto
8.1;0.575;0.22;2.1;3.29;0.51;9.2;5;Tinto
